sj,age,gender,income,hol1,hol2,hol3,hol4,hol_tot,constr1,constr2,IQ
101,23,1,60000.00,5.333333333,4.666666667,3.5,4.833333333,4.583333333,4.666666667,3.916666667,109
102,21,1,60000.00,6.666666667,4.5,4.083333333,4.333333333,4.895833333,4.75,4.416666667,112
103,24,0,40000.00,5,5,4.416666667,5.166666667,4.895833333,4.583333333,4.916666667,102
104,21,1,16000.00,4.166666667,4.666666667,4.25,4,4.270833333,4.666666667,4.166666667,97
105,21,0,50000.00,5.833333333,6,4.583333333,5.333333333,5.4375,5.083333333,4.5,102
106,19,0,16000.00,5,5.166666667,4.166666667,5.166666667,4.875,4.916666667,4.25,97
107,21,0,40000.00,6,5,4.416666667,4.666666667,5.020833333,3.75,4.416666667,92
108,24,1,20000.00,4.666666667,4.666666667,4.416666667,4.833333333,4.645833333,5,4.833333333,94
109,23,1,25000.00,6,4,4.6667,5.8333,5.125,4,3.166667,89
111,23,0,26000.00,5.333333333,3.833333333,4.416666667,5,4.645833333,3.583333333,3.916666667,132
112,26,0,16000.00,4.833333333,3.166666667,3.583333333,4,3.895833333,5.166666667,5.583333333,118
113,19,0,20000.00,,,,,,,,
114,23,1,140000.00,5,4.666666667,4.5,6,5.041666667,3.833333333,5,96
115,20,0,30000.00,7,2.5,5.083333333,5.166666667,4.9375,2.833333333,5.083333333,122
117,21,1,30000.00,5.1667,4.1667,4.3333,6.1667,4.95835,4.333333,4.583333,92
118,23,1,24000.00,5.166666667,4.666666667,4.25,4.333333333,4.604166667,4.916666667,5.166666667,102
119,25,1,26000.00,5.833333333,5.333333333,3.833333333,5.833333333,5.208333333,5.5,4.75,118
120,21,0,100000.00,4,4.333333333,4.083333333,5.833333333,4.5625,5.25,4.75,105
121,23,0,20000.00,,,,,,,,
122,18,0,60000.00,4.666666667,4.166666667,5.166666667,4.5,4.625,4.416666667,4.166666667,112
123,20,0,20000.00,5.166666667,4.333333333,6,6.333333333,5.458333333,4.833333333,4.25,105
124,21,1,8000.00,4,2.833333333,5.583333333,4.5,4.229166667,4.166666667,3.833333333,84
125,23,1,60000.00,,,,,,,,
126,22,0,60000.00,5,4.5,4.916666667,6.166666667,5.145833333,5.333333333,4.75,109
127,20,1,14000.00,5.833333333,3,4.833333333,4.333333333,4.5,4.666666667,2.833333333,99
128,24,1,100000.00,5.666666667,4.666666667,5.5,5.166666667,5.25,4.75,4.5,118
129,20,1,40000.00,5.333333333,5,5.166666667,5.666666667,5.291666667,4.416666667,4.666666667,112
130,20,1,24000.00,6.166666667,5.833333333,4.166666667,6.166666667,5.583333333,5.25,5.583333333,92
131,24,1,40000.00,4.833333333,3.166666667,4.333333333,4.333333333,4.166666667,3.5,6.333333333,105
132,23,1,16000.00,4.5,3.666666667,3.833333333,4,4,4.416666667,3.75,89
133,20,1,6000.00,4.833333333,4,4.333333333,4.333333333,4.375,4.916666667,5.333333333,102
134,24,0,20000.00,4.5,3.833333333,4.666666667,4.666666667,4.416666667,2.916666667,6.166666667,105
135,25,0,20000.00,4.333333333,4.5,1.833333333,6.166666667,4.208333333,6.166666667,5.916666667,92
136,21,1,36000.00,4.833333333,2.666666667,2.833333333,6.5,4.208333333,3.25,5.583333333,109
137,23,0,4000.00,6.166666667,3.666666667,3,6.166666667,4.75,5.833333333,5.916666667,96
138,21,0,40000.00,7,3.5,4.666666667,5.833333333,5.25,5.75,4.583333333,109
139,30,0,20000.00,5.166666667,4,4.833333333,5.666666667,4.916666667,4.25,5.25,92
140,25,0,60000.00,5.166666667,5.166666667,6.333333333,6.666666667,5.833333333,4.75,4.75,92
141,26,0,60000.00,6.3333,4.6667,2.3333,5.1667,4.625,5.583333,4.5,84
