sj,age,gender,income,hol1,hol2,hol3,hol4,hol_tot,constr1,constr2,IQ
201,23,1,40000,6.5,5.16,5.6,5.3,5.64,5.42,4.92,102
202,20,0,39000,6.3,4.83,5.16,5.83,5.53,5.75,4.16,105
203,24,1,120000,6.5,4.3,5.3,3.5,4.9,3.75,6.83,96
204,21,1,35000,6.3,3,5.83,4.3,4.8575,4.3,4.83,89
206,19,1,90000,5.6,3.5,5.6,3.83,4.6325,5.58,4.6,97
207,29,0,35000,3.5,5,6.3,6.6,5.35,5.16,3.92,99
208,23,0,100000,4,4.6,5.3,4.6,4.625,4.58,4.42,99
209,28,1,100000,5.83,4.6,3.5,3.6,4.3825,4.3,4.25,102
210,22,1,60000,4.83,5,5.5,4.16,4.8725,4.6,4.6,96
211,22,1,40000,5.5,4.5,4.17,4.33,4.625,4.08,6.08,99
212,21,1,30000,5,5,4,4.67,4.6675,4.75,6.58,91
213,21,1,200000,5.6,5.16,5.83,5.16,5.4375,5,4.92,118
214,21,1,50000,6.33,5.5,5.66,5.66,5.7875,5.92,4.83,105
215,25,1,15000,5.33,7,3.83,6,5.54,5.25,6.83,96
216,35,0,10000,2,1.33,7,6.5,4.2075,1.25,5.5,99
217,30,0,30000,3.5,4.83,6.33,2.5,4.29,4.25,6.33,79
218,26,0,100000,6.17,5,4.5,6.5,5.5425,5.08,5.25,105
219,23,0,3000000,7,4,5.33,3.33,4.915,4.08,4.92,112
220,24,0,20000,4,6,5.33,7,5.5825,6.5,4.92,83
221,20,0,100000,5.17,3.67,5,3.83,4.4175,3.92,5.5,122
222,19,0,30000,3.67,4.17,5.5,5,4.585,4.92,4.17,109
223,19,1,60000,7,4.67,5.14,4.66,5.3675,5.75,5.5,94
224,23,1,150000,6,3.5,4.83,5.33,4.915,4.92,4.92,97
225,24,1,150000,5.3,6,4,4.3,4.9,4.67,6.67,91
226,21,0,90000,6.3,5,5.3,4.17,5.1925,4.83,4.75,94
227,25,0,80000,4.83,4.33,4.83,5.17,4.79,3.83,5.67,109
229,22,0,15000,3.5,5.5,5.5,6.33,5.2075,5.83,4.08,112
230,22,0,100000,4.17,3.5,5.67,4.33,4.4175,5,4.33,102
231,20,1,35000,7,5.67,3.83,6.33,5.7075,5.08,4.08,105
232,19,1,60000,7,4.17,6.83,6,6,4.17,6.25,99
233,23,1,50000,3.83,5,4.16,6,4.7475,4.5,4.33,105
234,22,0,100000,5.67,4.33,4.17,4.83,4.75,3.75,4.25,91
236,26,1,30000,6.5,4.6,4,6.17,5.3175,3.25,5.08,118
237,18,0,80000,5.33,4.83,4.83,4.67,4.915,5,4.75,105
238,23,0,40000,6,5.33,4.67,4.83,5.2075,5.08,5,109
239,22,1,75000,5.83,5.5,5.33,4,5.165,4.67,5,102
240,22,0,50000,5.83,4.5,3,5.67,4.75,5.25,5.42,99
241,21,1,60000,5.5,5,5.5,5.5,5.375,5.5,5.42,92
242,26,0,90000,4.5,5.33,4,5.5,4.8325,5,5.75,118
