"","country","subj","PDE_nonsocial_pre","PDE_nonsocial_post","PDE_nonsocial_accpost"
"precoh_cat","PKU","101",0.0099459212015843,0.0190480624977461,0.299377686323087
"precoh_cat1","PKU","102",0.0595376877202517,0.180132484954111,0.495461362682848
"precoh_cat2","PKU","103",0.0294790881137648,0.311053672360067,0.679116797574589
"precoh_cat3","PKU","104",0.0970207377816212,0.040972520146326,0.0789118336954551
"precoh_cat4","PKU","105",0.00519832174424458,0.179264310406972,0.765146835648084
"precoh_cat5","PKU","106",0.0448646169377978,0.165506281266678,0.46457442322994
"precoh_cat6","PKU","107",0.00182399585602329,0.316729443226327,0.685792155701583
"precoh_cat7","PKU","108",0.00280081855609667,0.157218333529814,0.449603121564843
"precoh_cat8","PKU","109",0.0505317837717247,0.314078798779045,0.704467353418635
"precoh_cat9","PKU","111",0.00405951804786759,0.100218115782315,0.291136782081351
"precoh_cat10","PKU","112",0.0136335535471168,0.315286758622433,0.733667334017799
"precoh_cat11","PKU","113",0.0462639452493852,0.1759469542684,0.543742468839322
"precoh_cat12","PKU","114",0.115550133507744,0.170027095562776,0.645823711186852
"precoh_cat13","PKU","115",0.114648883627764,0.118292589536629,0.586124383006787
"precoh_cat14","PKU","117",0.0360036995141779,0.195478655548333,0.46869179744325
"precoh_cat15","PKU","118",0.0543681120154973,0.123310914566596,0.447954694400138
"precoh_cat16","PKU","119",0.143316269402373,0.116644883363925,0.567512272200667
"precoh_cat17","PKU","120",0.0121907430334858,0.409873274531872,0.857774618731435
"precoh_cat18","PKU","121",0.0267657956800562,0.0247270391958094,0.315132293240786
"precoh_cat19","PKU","122",0.088132834187427,0.11142269112571,0.501112830841306
"precoh_cat20","PKU","123",0.117600736619712,0.121974914160911,0.53864544503163
"precoh_cat21","PKU","124",0.00611779208500466,0.215727919791169,0.525790633922203
"precoh_cat22","PKU","125",0.0039925923290421,0.208139616820888,0.570700250691616
"precoh_cat23","PKU","126",0.0488244540065699,0.221889030169525,0.643012683266921
"precoh_cat24","PKU","127",0.11024032830186,0.134143942998627,0.647216253359102
"precoh_cat25","PKU","128",0.0789329114528018,0.151805264101049,0.536237106246089
"precoh_cat26","PKU","129",0.0370805255482342,0.18987969353749,0.491615901047953
"precoh_cat27","PKU","130",0.0403119810615757,0.13326276526049,0.552305163819513
