"","country","subj","PDE_social_pre","PDE_social_post","PDE_nonsocial_pre","PDE_nonsocial_post","PDE_social_accpost","PDE_nonsocial_accpost"
"precoh_cat","PKU","403",0.0500753244686252,0.0384653889026709,0.0671254097056647,0.0231964446078764,0.147371515699863,0.115371330977974
"precoh_cat1","PKU","404",0.126059540016336,0.108550384144715,0.09470844557491,0.0101910721544328,0.168238506689527,0.397721067150495
"precoh_cat2","PKU","405",0.0154044456414364,0.0764862784336662,0.004791147593805,0.280283248764998,0.214529509302651,0.662709774888696
"precoh_cat3","PKU","406",0.0424862816525703,0.100738058309662,0.0499787214395414,0.091044640679822,0.333131356874508,0.389658221203373
"precoh_cat4","PKU","407",0.0639709378230288,0.0423970248465807,0.0124185697579835,0.108882078175053,0.274964644170395,0.420871972475005
"precoh_cat5","PKU","408",0.0115588577969644,0.0606802893812602,0.0298438599538157,0.00559481105067641,0.279185060259634,0.494374814588473
"precoh_cat6","PKU","409",0.0353524486874228,0.183136772095824,0.0521379919295586,0.0958061811907154,0.378023158355669,0.720545960110808
"precoh_cat7","PKU","410",0.0599605873513952,0.0828943030338315,0.0997209134669485,0.0155623019792239,0.451838462265592,0.410531101612875
"precoh_cat8","PKU","411",0.204978883732873,0.0637948619797594,0.0873266816782818,0.170156006042419,0.15984371111333,0.68970669853388
"precoh_cat9","PKU","412",0.0701133915683571,0.0437899247336378,0.00789317173439154,0.0402814357220788,0.159181595540857,0.568551129585917
"precoh_cat10","PKU","413",0.0651291591314613,0.0136050026706275,0.0501899952533842,0.089941111612909,0.0856883384444322,0.226694373340229
"precoh_cat11","PKU","414",0.0566005725087727,0.0220963588408421,0.0380069103157255,0.017602247801971,0.117791427417921,0.183741645436529
"precoh_cat12","PKU","415",0.196309019918515,0.0106954326980181,0.137999240287032,0.162569512584101,0.132332432111711,0.461942611301576
"precoh_cat13","PKU","416",0.131131283483431,0.00442789993338284,0.0507941632483597,0.0918852313887148,0.104674593973843,0.590428339696786
"precoh_cat14","PKU","417",0.0753413364241007,0.0494413719305459,0.0578991245881655,0.0559076945266729,0.335982906914735,0.377491829027158
"precoh_cat15","PKU","418",0.063562197867994,0.0948454224344,0.0886972893902177,0.158495926644408,0.251925957588336,0.533936905480173
"precoh_cat16","PKU","420",0.203422724067444,0.0844747960929678,0.225365073220625,0.246911192875465,0.0558778040085905,0.467206558051268
"precoh_cat17","PKU","421",0.0993141712263162,0.0247480215396481,0.00819950818612209,0.0198772948466069,0.0536731400535662,0.0274171844249543
"precoh_cat18","PKU","422",0.172227313265084,0.0175613811058291,0.104766711630114,0.0353966559922874,0.0596727730456663,0.331243943447434
"precoh_cat19","PKU","423",0.0326119195503541,0.0451500508015482,0.0811320976496473,0.131157983935922,0.317245550508473,0.479952217098691
"precoh_cat20","PKU","424",0.0635222280799717,0.0216428398146613,0.0266883386983306,0.160206711840036,0.061855692897468,0.441822400308354
"precoh_cat21","PKU","425",0.0612879498981512,0.0168568930730841,0.0457588903502108,0.135235821074282,0.244786437187549,0.483553533469406
"precoh_cat22","PKU","426",0.0542146165868764,0.0201410561164368,0.00682422645039957,0.0873820548965747,0.0332267483193564,0.244250934017011
"precoh_cat23","PKU","427",0.0656366244524809,0.0364551445008643,0.0440774905216024,0.0977707486194447,0.214644132998573,0.510152109006401
"precoh_cat24","PKU","428",0.0847016446745978,0.127220664202206,0.158417476024224,0.165648918124985,0.167664379886865,0.360558010820936
"precoh_cat25","PKU","429",0.0866437595362551,0.00679585570027333,0.0505591918350339,0.00991804151128905,0.0975940378377009,0.247461368141397
"precoh_cat26","PKU","430",0.131348066529465,0.0135299342208031,0.123075320191388,0.0315537259156811,0.223810099583746,0.314755101514144
"precoh_cat27","PKU","431",0.00874226180483701,0.00866681222215106,0.0155906371144944,0.0647767469528535,0.0667208675465936,0.154690949503393
"precoh_cat28","PKU","432",0.0845824292004157,0.254628408700995,0.0155298190880625,0.133295603728455,0.557774374029534,0.359815501747598
"precoh_cat29","PKU","434",0.0686614437499418,0.00752152478274392,0.0646119482692382,0.00471876211418298,0.266774812011669,0.328723061539121
"precoh_cat30","PKU","435",0.0678035676494332,0.027273593182935,0.0206412859929675,0.124765103784114,0.286331564767712,0.506204220179583
"precoh_cat31","PKU","437",0.135139528323651,0.0320191562086289,0.0506506705501179,0.0762657172697903,0.0165744387182134,0.377424760528418
"precoh_cat32","PKU","438",0.0510614297833458,0.263282952053107,0.0675736014243239,0.239226822697489,0.671300390166903,0.634250200267644
"precoh_cat33","PKU","439",0.0695022644915527,0.0160759556420783,0.0502108246030856,0.175848404131524,0.186021108434287,0.528723756573191
"precoh_cat34","PKU","440",0.000910188837434339,0.347703777330849,0.0246042372843476,0.324948610750488,0.746270929517662,0.746855815958401
"precoh_cat35","PKU","441",0.156573589953217,0.0253650434439014,0.0420919847070581,0.237305261343014,0.198694933416957,0.706515667309732
"precoh_cat36","PKU","442",0.0382850889855745,0.0197827193983284,0.0474138569935563,0.201868286355153,0.0898987597779745,0.509169126881861
"precoh_cat37","PKU","443",0.0151141553917245,0.0451708547365316,0.0392174068472526,0.109211552566524,0.123986905637022,0.238376991557539
"precoh_cat38","PKU","445",0.0352574308498536,0.0457254656860573,0.000349006163924925,0.143695088842787,0.310042925245202,0.51597595487356
"precoh_cat39","PKU","446",0.00187042651792192,0.0907677388440733,0.0278697410216415,0.243158361724295,0.165977688754968,0.52614225769905
"precoh_cat40","PKU","447",0.0717506723520333,0.042935103754796,0.0560659321282041,0.0850062876014884,0.172741789310706,0.305358680133148
"precoh_cat41","PKU","448",0.054425781148047,0.160019603633744,0.0335263695055689,0.138107792378748,0.425204815011632,0.51579472451046
"precoh_cat42","PKU","449",0.198339392014549,0.00215537127280854,0.175618956890035,0.0224182893058489,0.0690619279952196,0.221989603556363
"precoh_cat43","PKU","450",0.030736243410903,0.0439105085608911,0.0176887801412752,0.208650565024616,0.200188842751742,0.479612382888983
"precoh_cat44","PKU","451",0.056586080987659,0.15367477618811,0.0201866936494896,0.156276809371516,0.332844457352624,0.540946404152154
"precoh_cat45","PKU","452",0.235817305243004,0.0134478901787449,0.138861671011266,0.132036700045035,0.142368086926662,0.636647378059221
"precoh_cat46","PKU","453",0.0308410737769922,0.07649394652404,0.0270415448333788,0.275239286864165,0.146681687132031,0.640682047408843
"precoh_cat47","PKU","454",0.162722375012334,0.0283609088764272,0.150976293791286,0.0963681075254684,0.130653089157901,0.516116840010914
"precoh_cat48","PKU","455",0.235355173566137,0.00425109717441992,0.153117556585442,0.170605838162655,0.136526474028358,0.692332870784105
"precoh_cat49","PKU","456",0.0657382010221509,0.281263930209536,0.0830053022683876,0.3101735274112,0.731830148542747,0.775722359160405
"precoh_cat50","PKU","457",0.188896599021797,0.016236375779919,0.0401546135802898,0.212593557991373,0.0172981202312309,0.67343643600737
"precoh_cat51","PKU","458",0.134755739300975,0.0244437196045075,0.119702272072533,0.097628112230673,0.114278356877514,0.228511424806893
"precoh_cat52","PKU","459",0.0367918463743084,0.0849555201056183,0.00373446695618776,0.388807302370066,0.200510920318617,0.826562111100823
"precoh_cat53","UCL","25",0.190857256492181,0.00965510039213851,0.136889295002695,0.00122832978435662,0.0241630992985848,0.338904698932066
"precoh_cat54","UCL","26",0.167389267834318,0.00532591957853985,0.0916709463083348,0.0639547379199656,0.00937747185110814,0.280651420447492
"precoh_cat55","UCL","27",0.128003674879977,0.023550384493049,0.0833588661129443,0.0101328145282444,0.0492482328866767,0.229024048062555
"precoh_cat56","UCL","28",0.0988555102837873,0.0757462806350823,0.0556519056295933,0.100632314373161,0.16118918678027,0.212320421864156
"precoh_cat57","UCL","29",0.198199506425841,0.138930086209432,0.101503949170998,0.130535713304303,0.185831675951625,0.539527638054839
"precoh_cat58","UCL","30",0.147144240441582,0.0198412406423121,0.031627233313803,0.121977150613443,0.0656545786164526,0.460290311946462
"precoh_cat59","UCL","31",0.146473283099072,0.0117716091915936,0.0851344566242927,0.0736411778396637,0.0561718101769228,0.452105520867775
"precoh_cat60","UCL","32",0.119478270529748,0.181840638733172,0.00532429942597627,0.252451602659144,0.528835183721975,0.653999145870982
"precoh_cat61","UCL","33",0.0773560172604505,0.106193948138332,0.0140290160361882,0.033734500342354,0.095346591212865,0.170109790746875
"precoh_cat62","UCL","34",0.018551147318544,0.000882668007234305,0.00165376765145061,0.0611973508083071,0.103785923902306,0.119485506446314
"precoh_cat63","UCL","35",0.0646222307615344,0.0401082795660448,0.0634701734405909,0.0328298424996066,0.136357483206788,0.0761055562801481
"precoh_cat64","UCL","36",0.0780320019560017,0.0268106771708812,0.000583408639710872,0.0540863157043804,0.16687102553513,0.292329513761986
"precoh_cat65","UCL","37",0.0654044123976181,0.0116053838486136,0.0379635463786616,0.00880680655353456,0.127830984146502,0.209326932839946
"precoh_cat66","UCL","38",0.0528666306722816,0.0649216877556843,0.0786682117913527,0.177024582668379,0.308011932912389,0.620623153484547
"precoh_cat67","UCL","39",0.0994162993428357,0.0118122930675486,0.0908297417070713,0.0316273446988921,0.0634537941581238,0.211856968148624
"precoh_cat68","UCL","40",0.0804239571886711,0.0272586283383165,0.0654380085059045,0.0118061704320551,0.227237359966681,0.255581712767412
"precoh_cat69","UCL","41",0.133351658450494,0.00633800741019224,0.103385613096423,0.000328383244809749,0.0877942939370983,0.0945357483789786
"precoh_cat70","UCL","42",0.0962533567965336,0.0342510604858449,0.0585128460333992,0.103204966396502,0.229772049288899,0.447076707924826
"precoh_cat71","UCL","43",0.310503675042426,0.039307074732985,0.112149686459749,0.222496641079324,0.0738872180892744,0.687868058267337
"precoh_cat72","UCL","44",0.184110476178509,0.0237518436262874,0.0945442723170306,0.0895544602038354,0.177511704195856,0.528098002385933
"precoh_cat73","UCL","45",0.235256695665401,0.0323895269417322,0.158907790465147,0.0640173336411448,0.0551080154606118,0.393277095224594
"precoh_cat74","UCL","46",0.033045042329214,0.00151581979577808,0.0564299679208613,0.0458158151907011,0.18995183101149,0.316033585753494
"precoh_cat75","UCL","47",0.168923199976206,0.0277269711759441,0.0921633241257991,0.0190379876152864,0.0496409491422772,0.213665079413575
"precoh_cat76","UCL","48",0.071732743317159,0.001588295979656,0.0247506112062558,0.0173222541636573,0.202800269354497,0.397175466674541
"precoh_cat77","UCL","49",0.0912884630157056,0.0358985106662886,0.11782807570008,0.0319382949048609,0.316955375260483,0.304630550676036
"precoh_cat78","UCL","50",0.259144548742387,0.035369906021572,0.122497947801908,0.16278644131724,0.0251114612177864,0.506159479994853
"precoh_cat79","UCL","51",0.0476077823280565,0.054894515777095,0.0119258667058211,0.131875958220057,0.135975507189576,0.432062859784982
"precoh_cat80","UCL","52",0.0855897458407056,0.094082342854525,0.0559647575333617,0.20324619052073,0.221025389685403,0.608827511101935
"precoh_cat81","UCL","53",0.232752358916115,0.00874203785793567,0.0790178252309429,0.201761304074801,0.0239953247528817,0.667910254054465
"precoh_cat82","UCL","54",0.0606307766784562,0.032715976807295,0.0305246873260807,0.0945844487373568,0.179148478575715,0.315438926471536
"precoh_cat83","UCL","55",0.130439349382361,0.0058516453258335,0.0418240632071088,0.0307184046816682,0.114428366848705,0.417237074147512
"precoh_cat84","UCL","56",0.00895459890977452,0.0249322435328268,0.0657784126200174,0.169896709421562,0.00879865815851295,0.558927137963707
"precoh_cat85","UCL","57",0.0848593523869369,0.00161934032200606,0.107396156686052,0.120232279274961,0.383605229664035,0.727936564269114
"precoh_cat86","UCL","58",0.0206032049460905,0.0123652518324543,0.00215542651454863,0.0141283398427576,0.0140322593532318,0.0652072296315126
"precoh_cat87","UCL","59",0.0441194423253332,0.00668763466570733,0.0312670426941801,0.0612223496538684,0.189848692262289,0.0960001316821856
"precoh_cat88","UCL","60",0.127992986705517,0.0101738844820392,0.0552983997737229,0.0602798490183829,0.0753368152945328,0.355985031055907
"precoh_cat89","UCL","61",0.127175917096301,0.0374050061497525,0.0704273370645359,0.157846508633974,0.185551216961745,0.672947598762045
"precoh_cat90","UCL","62",0.177828965361311,0.0338078764610701,0.109557107853037,0.0813599272481365,0.072520696152875,0.521982205407469
"precoh_cat91","UCL","63",0.041141157425366,0.0554495682365799,0.0528805664368841,0.00142990984272398,0.229085819139589,0.313227760267125
"precoh_cat92","UCL","64",0.141270614447208,0.00229969768391874,0.0435982572402446,0.241689615514493,0.0421712802774064,0.700028742618641
"precoh_cat93","UCL","65",0.0664785257224894,0.00552962163787961,0.0411523973156515,0.00861168433661036,0.0253270365080335,0.0426249847028626
"precoh_cat94","UCL","66",0.00439558339240498,0.0925383360305568,0.0112132086881705,0.159802025584357,0.247812835925633,0.404743875003297
"precoh_cat95","UCL","67",0.207883078156298,0.019500021957213,0.151880918707612,0.019182089494948,0.0108160493913294,0.128693448993214
"precoh_cat96","UCL","68",0.0452892836950904,0.0497194507423651,0.0513724363795617,0.0302454984060859,0.134045558097286,0.329657797145785
"precoh_cat97","UCL","69",0.108806253588861,0.0696378611107958,0.0859213987883094,0.192940677417911,0.152794228112335,0.56608745570931
"precoh_cat98","UCL","70",0.242203129588358,0.0294918242280338,0.130293807243596,0.027653638623008,0.128182808093226,0.407179648471151
"precoh_cat99","UCL","71",0.0679267802238628,0.0190084338572269,0.00811714355747246,0.0671704361786401,0.0633930317029978,0.406070292919962
"precoh_cat100","UCL","72",0.0837611281464423,0.0436387272960967,0.0188008167090598,0.0364795138282654,0.162738521054236,0.261742842530466
"precoh_cat101","UCL","73",0.0930871076094219,0.0298475873818554,0.00332255542448362,0.0374399875809477,0.0248378123979684,0.290676611707374
"precoh_cat102","UCL","74",0.0929634690757675,0.020598095737719,0.0143210255059395,0.0114977658134119,0.109688438929872,0.0698063873156648
"precoh_cat103","UCL","75",0.174593283744586,0.00431355767121508,0.157159587758171,0.0280732518135489,0.0397126556576745,0.153133006234705
"precoh_cat104","UCL","76",0.0194934858900198,0.0369064981397984,0.00369550165381696,0.384131212209655,0.0846154344321506,0.825132538918827
"precoh_cat105","UCL","79",0.147743621190381,0.0526297636057755,0.0593851149335451,0.0424703404509501,0.042341269957577,0.444916205118694
